time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.errors,.cmds,.ekf_output,.e_m,.e_m_dot,.time
1970/01/01/02:06:44.922000,1979,0,0,,"(-0.39759543538093567, -0.13370659947395325, -0.33411505818367004, -0.19360285997390747, 0.0640379786491394, -0.21784336864948273, 0.0313921719789505, -0.18987509608268738)","(0.5171346068382263, -0.33028146624565125, -0.008511004038155079, 0.11807382851839066)","(-0.15890911221504211, 0.06823242455720901, 0.9956255555152893, 0.9978127479553223)","(-0.15907008945941925,)","(0.06816713511943817,)",404.916992188
1970/01/01/02:06:44.951000,1980,0,0,,"(-0.4054335057735443, -0.14548806846141815, -0.3455101251602173, -0.20679901540279388, 0.06147431582212448, -0.241590216755867, 0.034820083528757095, -0.20607179403305054)","(0.5596115589141846, -0.3108043670654297, -0.013743309304118156, 0.1356939673423767)","(-0.16349674761295319, -0.27900561690330505, 0.9725161790847778, 0.9862580895423889)","(-0.16366229951381683,)","(-0.2794158160686493,)",404.941986084
1970/01/01/02:06:44.983000,1981,0,0,,"(-0.40986931324005127, -0.16140463948249817, -0.3534218668937683, -0.22049102187156677, 0.04955046996474266, -0.2673434913158417, 0.024918170645833015, -0.22860586643218994)","(0.5929679274559021, -0.3897753059864044, -0.01720885932445526, 0.13007843494415283)","(-0.17203155159950256, -0.5499504804611206, 0.9544842839241028, 0.9772421717643738)","(-0.1722056269645691,)","(-0.5506298542022705,)",404.976989746
1970/01/01/02:06:45.003000,1982,0,0,,"(-0.4213884770870209, -0.17299674451351166, -0.36124494671821594, -0.23028935492038727, 0.04715273529291153, -0.2827593684196472, 0.02395472303032875, -0.24585716426372528)","(0.6635503768920898, -0.4379698634147644, -0.02545538917183876, 0.12050869315862656)","(-0.17770175635814667, -0.7179053425788879, 0.943306565284729, 0.9716532826423645)","(-0.17788149416446686,)","(-0.7187515497207642,)",404.99899292
1970/01/01/02:06:45.032000,1983,0,0,,"(-0.41768231987953186, -0.17319181561470032, -0.34993696212768555, -0.23081837594509125, 0.05599333718419075, -0.28229954838752747, 0.02825075387954712, -0.24083012342453003)","(0.5847649574279785, -0.3154356777667999, -0.028465164825320244, 0.16039492189884186)","(-0.17067107558250427, -0.594560444355011, 0.9515154361724854, 0.9757577180862427)","(-0.17084379494190216,)","(-0.595284104347229,)",405.022003174
1970/01/01/02:06:45.060000,1984,0,0,,"(-0.4275561273097992, -0.17940180003643036, -0.35620179772377014, -0.2323647141456604, 0.056352995336055756, -0.29915380477905273, 0.02507968433201313, -0.26038581132888794)","(0.6300249695777893, -0.3692097067832947, -0.03301548212766647, 0.1535731554031372)","(-0.17540386319160461, -0.47578316926956177, 0.9594202637672424, 0.9797101616859436)","(-0.17558132112026215,)","(-0.4763888418674469,)",405.040985107
1970/01/01/02:06:45.086000,1985,0,0,,"(-0.4223083555698395, -0.18116925656795502, -0.35470548272132874, -0.23637928068637848, 0.05732506513595581, -0.3074435293674469, 0.026481343433260918, -0.2623281478881836)","(0.5426249504089355, -0.31539419293403625, -0.03255006670951843, 0.18114730715751648)","(-0.173126682639122, -0.22624289989471436, 0.9760276675224304, 0.9880138039588928)","(-0.17330186069011688,)","(-0.22660070657730103,)",405.082000732
1970/01/01/02:06:45.143000,1986,0,0,,"(-0.4100412428379059, -0.1885482221841812, -0.34209999442100525, -0.24063895642757416, 0.07676120102405548, -0.3057093918323517, 0.04110509529709816, -0.26123329997062683)","(0.38148561120033264, -0.27342066168785095, -0.02875649929046631, 0.21156179904937744)","(-0.1584082543849945, 0.23484937846660614, 1.0067142248153687, 1.0033570528030396)","(-0.15856872498989105,)","(0.23494958877563477,)",405.130004883
1970/01/01/02:06:45.153000,1987,0,0,,"(-0.3989048898220062, -0.18589629232883453, -0.3270273208618164, -0.2415446788072586, 0.08123669773340225, -0.30043402314186096, 0.04979126900434494, -0.2606342136859894)","(0.37808117270469666, -0.278268039226532, -0.03650997579097748, 0.20531907677650452)","(-0.14857541024684906, 0.25639820098876953, 1.0081483125686646, 1.004074215888977)","(-0.14872606098651886,)","(0.2565198242664337,)",405.145996094
1970/01/01/02:06:45.178000,1988,0,0,,"(-0.3885599672794342, -0.17908385396003723, -0.3129260540008545, -0.23208700120449066, 0.10783441364765167, -0.28717005252838135, 0.07061745226383209, -0.24391105771064758)","(0.2936857342720032, -0.1416313350200653, -0.03333860635757446, 0.2432403266429901)","(-0.13062581419944763, 0.48523029685020447, 1.023377537727356, 1.0116888284683228)","(-0.13075853884220123,)","(0.4855792224407196,)",405.174987793
